Tijdstip,Windrichting
2025-05-20 15:31:43,Southeast by South
20-05-2025 15:33,Southeast by South
20-05-2025 15:41,Southwest
20-05-2025 15:42,Southwest
20-05-2025 15:48,225.0
20-05-2025 15:53,112.5
